priority,complexity_level,complexity_score,semantic_category,code_num,localFile,title,node_count,path_count,total_path_cmds,file_size_bytes
1,复杂,834.152,导向与方向信息,3,China_road_sign_路_3b.svg,File:China road sign 路 3b.svg,87,36,1105,48598
2,复杂,688.456,线路与出入口信息,47,China_road_sign_路_47b.svg,File:China road sign 路 47b.svg,65,43,826,52741
3,复杂,656.987,线路与出入口信息,47,China_road_sign_路_47c.svg,File:China road sign 路 47c.svg,66,40,796,46295
4,复杂,507.09,导向与方向信息,1,China_road_sign_路_1a.svg,File:China road sign 路 1a.svg,44,26,653,34272
5,复杂,484.387,导向与方向信息,4,China_road_sign_路_4b.svg,File:China road sign 路 4b.svg,48,29,591,41616
6,复杂,484.081,线路与出入口信息,46,China_road_sign_路_46b.svg,File:China road sign 路 46b.svg,40,28,627,29744
7,复杂,475.12,导向与方向信息,3,China_road_sign_路_3a.svg,File:China road sign 路 3a.svg,23,21,661,33559
8,复杂,434.153,导向与方向信息,2,China_road_sign_路_2a.svg,File:China road sign 路 2a.svg,49,23,534,30406
9,复杂,422.378,旅游与区域信息,77,China_road_sign_路_77c.svg,File:China road sign 路 77c.svg,41,15,574,29799
10,复杂,413.464,导向与方向信息,4,China_road_sign_路_4a.svg,File:China road sign 路 4a.svg,36,20,545,27290
11,复杂,409.221,距离与里程信息,16,China_road_sign_路_16.svg,File:China road sign 路 16.svg,64,25,467,27437
12,复杂,400.802,旅游与区域信息,77,China_road_sign_路_77a.svg,File:China road sign 路 77a.svg,35,14,555,27880
13,复杂,398.317,旅游与区域信息,77,China_road_sign_路_77b.svg,File:China road sign 路 77b.svg,35,14,553,27213
14,复杂,383.321,距离与里程信息,15,China_road_sign_路_15.svg,File:China road sign 路 15.svg,62,23,415,29685
15,复杂,367.623,旅游与区域信息,77,China_road_sign_路_77d.svg,File:China road sign 路 77d.svg,30,12,517,25916
16,复杂,337.343,线路与出入口信息,46,China_road_sign_路_46a.svg,File:China road sign 路 46a.svg,24,20,435,21353
17,复杂,327.819,车道与通行方式信息,67,China_road_sign_路_67c.svg,File:China road sign 路 67c.svg,36,17,396,28487
18,复杂,318.058,车道与通行方式信息,67,China_road_sign_路_67a.svg,File:China road sign 路 67a.svg,35,16,390,27109
19,复杂,317.14,车道与通行方式信息,67,China_road_sign_路_67b.svg,File:China road sign 路 67b.svg,35,16,391,26469
20,复杂,291.344,线路与出入口信息,55,China_road_sign_路_55.svg,File:China road sign 路 55.svg,37,13,360,22741
21,复杂,287.013,车道与通行方式信息,67,China_road_sign_路_67d.svg,File:China road sign 路 67d.svg,36,13,354,24943
